City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Condition
284,Pinheiro Machado,BR,-31.5783,-53.3811,84.58,30,5,11.81,clear sky
285,Le Port,RE,-20.9373,55.2919,77.0,75,99,13.56,overcast clouds
286,Severnyy,RU,50.677,36.5532,37.44,93,100,8.95,overcast clouds
287,Beira,MZ,-19.8436,34.8389,80.69,65,40,14.97,scattered clouds
288,Nantucket,US,41.2835,-70.0995,46.45,85,99,17.31,light rain
289,Beyneu,KZ,45.3167,55.2,23.32,65,0,11.3,clear sky
290,Burgeo,CA,47.6167,-57.6152,31.01,74,24,14.23,few clouds
291,Matara,LK,5.9485,80.5353,74.61,90,99,3.31,overcast clouds
292,Wladyslawowo,PL,54.7909,18.4009,43.48,97,100,12.33,overcast clouds
293,Rocha,UY,-34.4833,-54.3333,79.21,45,6,19.08,clear sky
294,Muros,ES,42.7762,-9.0603,62.83,80,99,20.83,overcast clouds
295,Bilma,NE,18.6853,12.9164,61.5,36,13,11.81,few clouds
296,Ruza,RU,55.699,36.1952,33.33,99,100,6.76,overcast clouds
297,Soyo,AO,-6.1349,12.3689,78.3,78,30,9.84,scattered clouds
298,Bollnas,SE,61.3482,16.3946,28.89,84,100,3.71,overcast clouds
299,Krasnyy Kut,RU,50.95,46.9667,31.01,80,100,12.86,overcast clouds
300,Riyadh,SA,24.6877,46.7219,64.54,26,100,11.74,overcast clouds
301,Buraydah,SA,26.326,43.975,63.05,34,100,7.76,overcast clouds
302,Beloha,MG,-25.1667,45.05,67.24,82,40,11.36,light rain
303,Varzelandia,BR,-15.7014,-44.0275,74.34,85,85,2.89,overcast clouds
304,Inta,RU,66.0317,60.1659,-7.8,93,90,7.36,overcast clouds
305,Ugoofaaru,MV,5.6667,73.0,80.37,76,96,4.52,overcast clouds
306,Manica,FR,49.0,-1.1667,52.27,94,100,12.3,overcast clouds
307,Shihezi,CN,44.3,86.0333,13.91,94,100,4.36,overcast clouds
308,Kangaatsiaq,GL,68.3065,-53.4641,10.76,88,53,7.61,broken clouds
309,Kulhudhuffushi,MV,6.6221,73.07,80.67,76,71,5.01,broken clouds
310,Sturgeon Bay,US,44.8342,-87.377,21.6,79,100,15.28,light snow
311,Loubomo,CG,-4.1997,12.6739,71.13,96,93,3.71,overcast clouds
312,Utete,TZ,-7.986,38.758,73.76,97,100,2.77,light rain
313,Deer Lake,CA,49.1667,-57.4316,30.06,100,100,0.0,light snow
314,Olinda,BR,-8.0089,-34.8553,82.13,69,40,11.5,scattered clouds
315,Grand Gaube,MU,-20.0064,57.6608,74.37,70,100,1.01,overcast clouds
316,Qasigiannguit,GL,68.8193,-51.1922,8.85,73,4,4.79,clear sky
